STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2015-Q1,,97.94,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2015-Q2,,99.13,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2015-Q3,,101.49,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2015-Q4,,101.43,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2016-Q1,,100.37,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2016-Q2,,101.42,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2016-Q3,,103.63,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2016-Q4,,103.90,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2017-Q1,,104.36,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2017-Q2,,104.48,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2017-Q3,,107.81,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2017-Q4,,107.14,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2018-Q1,,107.37,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2018-Q2,,108.51,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2018-Q3,,110.64,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2018-Q4,,110.06,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2019-Q1,,111.00,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2019-Q2,,111.84,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2019-Q3,,115.37,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2019-Q4,,114.72,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2020-Q1,,115.24,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2020-Q2,,116.61,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2020-Q3,,119.05,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2020-Q4,,121.45,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2021-Q1,,122.41,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2021-Q2,,124.78,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2021-Q3,,128.04,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2021-Q4,,128.62,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2022-Q1,,130.02,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2022-Q2,,132.18,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2022-Q3,,134.96,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2022-Q4,,134.55,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2023-Q1,,135.04,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2023-Q2,,134.55,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2023-Q3,,136.31,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2023-Q4,,138.28,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2024-Q1,,139.36,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2024-Q2,,138.96,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2024-Q3,,141.16,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2024-Q4,,142.18,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2025-Q1,,143.08,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2025-Q2,,142.94,,,,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2025-Q3,,146.39,,p,provisional,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BG,Bulgaria,2005-Q1,,76.01,,e,estimated,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BG,Bulgaria,2005-Q2,,79.26,,e,estimated,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BG,Bulgaria,2005-Q3,,81.55,,e,estimated,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BG,Bulgaria,2005-Q4,,83.52,,e,estimated,,
dataflow,ESTAT:TIPSHO40(1.0),House price index - quarterly data,Q,Quarterly,I15_Q,"Quarterly index, 2015=100",BG,Bulgaria,2006-Q1,,87.47,,e,estimated,,
